scenario_name	variant_ids_json	variant_names_json	dose_names_json	notes	equation_file
base_no_variants_no_doses	[]	"[]"	"[]"	Raw model equations using active configset only.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_no_variants_no_doses.txt
legacy_case10_variants_dosepool	[5,9,11,13,14,24]	"[""combo tissues 2a"",""Tgeneration"",""act optimizn 2a_modified"",""finj optimization"",""tissue3"",""act optimizn v22_2""]"	"[""4qw inj"",""single inj"",""4qw inj drug"",""single inj drug""]"	Variants+dose pool used in MainRun case 10-13.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/legacy_case10_variants_dosepool.txt
legacy_case20_variants_dosepool	[5,9,11,13,14,15,24]	"[""combo tissues 2a"",""Tgeneration"",""act optimizn 2a_modified"",""finj optimization"",""tissue3"",""validation"",""act optimizn v22_2""]"	"[""4qw inj"",""single inj"",""4qw inj drug"",""single inj drug""]"	Variants+dose pool used in MainRun case 20-22.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/legacy_case20_variants_dosepool.txt
legacy_case30_variants_dosepool	[5,9,11,13,14,20,22,24]	"[""combo tissues 2a"",""Tgeneration"",""act optimizn 2a_modified"",""finj optimization"",""tissue3"",""human parameters"",""Blin parameters"",""act optimizn v22_2""]"	"[""single inj"",""single inj drug"",""Blin 15 IV 4w""]"	Variants+dose pool used in MainRun case 30.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/legacy_case30_variants_dosepool.txt
phase1_human_variants_no_dose	[5,9,14,20,24,25,27,28]	"[""combo tissues 2a"",""Tgeneration"",""tissue3"",""human parameters"",""act optimizn v22_2"",""human DLBCL parameters"",""Human PK Lin (GUI Fit - all values normalized)"",""Tumor compartment - DLBCL""]"	"[]"	Variants used by phase1 scripts, no exogenous dose.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/phase1_human_variants_no_dose.txt
phase1_human_fixed_0p8mg_q3w	[5,9,14,20,24,25,27,28]	"[""combo tissues 2a"",""Tgeneration"",""tissue3"",""human parameters"",""act optimizn v22_2"",""human DLBCL parameters"",""Human PK Lin (GUI Fit - all values normalized)"",""Tumor compartment - DLBCL""]"	"[""phase1_fixed_0p8mg_q3w""]"	Representative fixed-q3w schedule for equation expansion.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/phase1_human_fixed_0p8mg_q3w.txt
phase1_human_step_0p8_2_6mg_q3w	[5,9,14,20,24,25,27,28]	"[""combo tissues 2a"",""Tgeneration"",""tissue3"",""human parameters"",""act optimizn v22_2"",""human DLBCL parameters"",""Human PK Lin (GUI Fit - all values normalized)"",""Tumor compartment - DLBCL""]"	"[""phase1_step_0p8_2_6mg""]"	Representative cycle-1 step-up + q3w target schedule.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/phase1_human_step_0p8_2_6mg_q3w.txt
base_modeldose_01_1mg/kg 4qw	[]	"[]"	"[""1mg/kg 4qw""]"	Base model with only project dose idx=1 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_01_1mg_kg_4qw.txt
base_modeldose_02_0.1 mg/kg 4qw	[]	"[]"	"[""0.1 mg/kg 4qw""]"	Base model with only project dose idx=2 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_02_0_1_mg_kg_4qw.txt
base_modeldose_03_1mg/kg single	[]	"[]"	"[""1mg/kg single""]"	Base model with only project dose idx=3 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_03_1mg_kg_single.txt
