rxn_idx	species_idx	species_name	stoich
1	2	Btiss	1
2	1	actTtiss	1
2	7	restTtiss	-1
3	2	Btiss	-1
4	3	TDBc_ugperkg	-1
5	3	TDBc_ugperkg	-1
5	8	TDBp_ugperkg	1
6	7	restTtiss	1
8	7	restTtiss	1
8	9	restTpb	-1
9	9	restTpb	1
10	2	Btiss	1
10	10	Bpb	-1
11	4	actTpb	1
11	9	restTpb	-1
12	10	Bpb	1
13	10	Bpb	-1
16	10	Bpb	-1
17	2	Btiss	-1
18	9	restTpb	-1
19	1	actTtiss	1
19	4	actTpb	-1
20	4	actTpb	-1
21	31	BAFF	-1
22	31	BAFF	1
23	9	restTpb	1
23	33	act0Tpb	-1
24	4	actTpb	1
24	33	act0Tpb	-1
25	33	act0Tpb	-1
26	34	act0Ttiss	-1
27	1	actTtiss	1
27	34	act0Ttiss	-1
28	7	restTtiss	1
28	34	act0Ttiss	-1
29	33	act0Tpb	-1
29	34	act0Ttiss	1
30	33	act0Tpb	1
31	34	act0Ttiss	1
32	35	injection_effect	-1
33	41	act0Ttiss2	1
34	33	act0Tpb	-1
34	41	act0Ttiss2	1
35	41	act0Ttiss2	-1
35	42	restTtiss2	1
36	41	act0Ttiss2	-1
36	46	actTtiss2	1
37	41	act0Ttiss2	-1
38	4	actTpb	-1
38	46	actTtiss2	1
39	36	Btiss2	-1
40	10	Bpb	-1
40	36	Btiss2	1
41	9	restTpb	-1
41	42	restTtiss2	1
44	36	Btiss2	-1
45	42	restTtiss2	-1
45	46	actTtiss2	1
46	36	Btiss2	1
47	55	RTXc_ugperkg	-1
47	56	RTXp_ugperkg	1
48	55	RTXc_ugperkg	-1
49	60	drug_effect	-1
50	62	B19no20tiss3	1
51	61	B1920tiss3	1
51	62	B19no20tiss3	-1
52	10	Bpb	1
52	61	B1920tiss3	-1
53	62	B19no20tiss3	-1
54	61	B1920tiss3	-1
55	9	restTpb	-1
55	63	restTtiss3	1
56	61	B1920tiss3	-1
57	33	act0Tpb	-1
57	64	act0Ttiss3	1
58	4	actTpb	-1
58	65	actTtiss3	1
59	64	act0Ttiss3	-1
60	64	act0Ttiss3	-1
60	65	actTtiss3	1
61	63	restTtiss3	1
61	64	act0Ttiss3	-1
62	63	restTtiss3	-1
62	65	actTtiss3	1
63	64	act0Ttiss3	1
65	62	B19no20tiss3	-1
68	7	restTtiss	-1
69	42	restTtiss2	-1
70	1	actTtiss	-1
71	46	actTtiss2	-1
72	63	restTtiss3	-1
73	65	actTtiss3	-1
74	10	Bpb	1
75	84	Blinc_ug	-1
84	61	B1920tiss3	1
85	62	B19no20tiss3	1
86	102	restTtumor	1
86	105	act0Ttumor	-1
87	103	actTtumor	1
87	105	act0Ttumor	-1
88	105	act0Ttumor	1
89	102	restTtumor	-1
89	103	actTtumor	1
94	104	Btumor	1
95	104	Btumor	-1
96	104	Btumor	-1
97	103	actTtumor	-1
98	10	Bpb	-1
98	104	Btumor	1
99	9	restTpb	-1
99	102	restTtumor	1
100	4	actTpb	-1
100	103	actTtumor	1
101	33	act0Tpb	-1
101	105	act0Ttumor	1
102	105	act0Ttumor	-1
103	102	restTtumor	-1
104	3	TDBc_ugperkg	1
104	124	TDBsc_ugperkg	-1
105	124	TDBsc_ugperkg	-1
106	125	TDBc_ugperml_AUC	1
107	126	IL6pb	1
108	126	IL6pb	-1
109	127	IL6tiss	1
110	127	IL6tiss	-1
111	128	IL6tiss2	1
112	128	IL6tiss2	-1
113	129	IL6tiss3	1
114	129	IL6tiss3	-1
115	130	IL6tumor	1
116	130	IL6tumor	-1
